3.5866,1.9777,0.9039,-0.1142,2
3.6882,2.2216,1.3005,-0.7240,2
4.1901,-0.4340,-0.2776,5.9150,1
4.3528,-3.7447,-1.7431,14.1917,0
3.9535,0.2033,0.1498,4.3218,1
3.6796,2.5644,1.1161,-1.5810,2
3.8573,5.2923,2.5387,-8.4007,3
3.5531,-3.8534,-0.5028,14.4635,0
4.2242,0.3644,0.2669,3.9190,1
3.9509,-0.0678,0.2142,4.9994,1
3.9985,-2.3143,-1.9714,10.6157,0
4.2120,4.9798,2.6235,-7.6194,3
3.6674,3.3381,1.6108,-3.5153,3
3.6094,4.0602,1.7879,-5.3206,3
3.5498,1.8865,1.1995,0.1138,2
3.5464,-3.8064,-0.6931,14.3461,0
4.2656,-3.8558,-1.8999,14.4695,0
3.7232,3.9026,2.5636,-4.9264,3
3.4873,-3.5815,-0.9098,13.7838,0
4.4328,-3.5564,-1.7496,13.7209,0
3.8246,1.7607,0.7981,0.4283,1
3.6765,1.8412,1.2887,0.2269,2
4.1737,4.8791,1.7174,-7.3678,3
4.0839,5.0340,2.6694,-7.7551,3
4.4094,-3.3551,-1.9510,13.2178,0
3.7750,3.9316,2.5625,-4.9990,3
3.6684,2.1962,1.1929,-0.6604,2
4.2788,-2.8117,-2.0042,11.8593,0
3.9927,3.9012,2.6034,-4.9229,3
3.7224,1.7677,1.3447,0.4107,2
3.8436,4.7130,2.2370,-6.9525,3
3.7078,2.1817,1.5041,-0.6241,2
3.8461,4.0683,2.3233,-5.3406,3
3.6838,2.3206,1.5130,-0.9715,2
4.1964,-2.2721,-2.0281,10.5103,0
3.9341,1.5817,0.2881,0.8758,1
4.0242,0.1643,-0.2908,4.4194,1
3.9646,1.6887,0.6191,0.6082,1
4.0474,-0.3994,-0.0717,5.8284,1
3.6844,0.8805,0.4228,2.6287,1
4.2373,3.2880,2.5774,-3.3899,3
4.1949,1.7308,0.6646,0.5030,1
3.5698,-0.2525,0.6891,5.4613,1
3.5311,-2.5073,-0.7691,11.0983,0
3.5409,-2.3562,-0.7481,10.7204,0
3.7361,5.1711,2.3397,-8.0976,3
3.6701,1.7746,1.3879,0.3936,2
4.1806,2.9817,1.7691,-2.6241,3
3.5850,1.5559,1.2692,0.9403,2
3.5533,0.7751,-0.0939,2.8923,1
3.9836,4.1113,2.7781,-5.4483,3
3.5135,-2.1391,-0.7052,10.1777,0
3.6851,0.1652,0.3077,4.4170,1
3.5775,1.9803,1.3159,-0.1207,2
4.1830,-3.5433,-1.8279,13.6881,0
4.0657,5.0287,2.1086,-7.7417,3
4.4432,-3.3485,-1.7290,13.2013,0
4.1223,-0.8262,-0.2738,6.8955,1
3.6286,-0.3729,-0.0589,5.7621,1
3.5118,-1.8915,-0.6017,9.5588,0
4.3908,-2.3944,-1.7573,10.8160,0
3.6718,2.1919,1.1693,-0.6499,2
4.0401,3.8271,1.6860,-4.7378,3
3.5341,-3.9277,-0.5425,14.6492,0
3.4933,-2.5693,-0.4662,11.2532,0
3.8791,4.6660,2.5411,-6.8350,3
3.8848,0.7978,-0.3487,2.8354,1
3.6662,2.5051,1.3879,-1.4328,2
3.7008,1.8708,1.4275,0.1530,2
3.6724,2.5380,1.5349,-1.5149,2
3.6944,1.5123,1.3048,1.0492,2
4.2542,0.8482,0.1799,2.7095,1
3.7638,-0.0299,0.1659,4.9048,1
3.9391,4.4290,1.7951,-6.2424,3
3.9297,0.0314,0.0573,4.7514,1
4.4310,-2.2508,-1.7979,10.4570,0
4.0149,1.8446,0.5499,0.2185,1
3.8943,3.6730,2.9429,-4.3524,3
3.8457,0.9803,0.7632,2.3793,1
3.5818,2.2219,1.2068,-0.7248,2
4.2409,-0.5620,0.0526,6.2351,1
